Mouses Boundary-left Boundary-top Boundary-right Boundary-bottom
2704 	 1054 	 1191 	 1694 	 1831
2705 	 1026 	 1244 	 1666 	 1884
2709 	 1029 	 1129 	 1669 	 1769
2710 	 891 	   1014 	 1531 	 1654
2711 	 937 	   1112 	 1577 	 1752
2712 	 971 	   1254 	 1611 	 1894
3001 	 1332 	 861 	   1972 	 1501
3002 	 926 	   1460 	 1566 	 2100
3003 	 807 	   1451 	 1447 	 2091
3004 	 825 	   1341 	 1465 	 1981
3005 	 659 	   1447 	 1299 	 2087
3006 	 699 	   1518 	 1339 	 2158
3007 	 650 	   1492 	 1290 	 2132
3008 	 668 	   1185 	 1308 	 1825
3009 	 650 	   1296 	 1290 	 1936
3010 	 761 	   1284 	 1401 	 1924
3011 	 1268 	 835 	   1908 	 1475
3012 	 854 	   1286 	 1494 	 1926
3013 	 754 	   1204 	 1394 	 1844
3014 	 693 	   1365 	 1333 	 2005
3015 	 620 	   1318 	 1260 	 1958
3017 	 981 	   1351 	 1621 	 1991
3018 	 735 	   1488 	 1375 	 2128
3019 	 808 	   1581 	 1448 	 2221
3040 	 650 	   1485 	 1290 	 2125
3041 	 767 	   1366 	 1407 	 2006
3042 	 1029 	 550 	   1669 	 1190
3044 	 767 	   1595 	 1407 	 2235
3046 	 789 	   1335 	 1429 	 1975
3048 	 765 	   1375 	 1405 	 2015
3049 	 776 	   1321 	 1416 	 1961
3050 	 721 	   1422 	 1361 	 2062
3051 	 752 	   1361 	 1392 	 2001
3052 	 924 	   1286 	 1564 	 1926
3053 	 830 	   1513 	 1470 	 2153
3054 	 788 	   1255 	 1428 	 1895
3055 	 857 	   1427 	 1497 	 2067
3056 	 669 	   1362 	 1309 	 2002
3057 	 858 	   1487 	 1498 	 2127
3058 	 1444 	 755 	   2084 	 1395
3059 	 1329 	 682 	   1969 	 1322
3060 	 761 	   1279 	 1401 	 1919
2707 	 1057 	 956 	   1697 	 1596
2988 	 761 	   1390 	 1401 	 2030
2983 	 836 	   1051 	 1476 	 1691
2714 	 913 	   1075 	 1553 	 1715
2986 	 916   	 1505 	 1556 	 2145
2985 	 785 	   1498 	 1425 	 2138
2990 	 807 	   1543 	 1447 	 2183
2984 	 867 	   1343 	 1507 	 1983
2989 	 826 	   1569 	 1466 	 2209
2996 	 723 	   1446 	 1363 	 2086
2999 	 547 	   1515 	 1187 	 2155
2995 	 752 	   1524 	 1392 	 2164
2993 	 742 	   1272 	 1382 	 1912
2997 	 751   	 1407 	 1391 	 2047
3047 	 742 	   1452 	 1382 	 2092
2991 	 756 	   1507 	 1396 	 2147
2992 	 890 	   1296 	 1530 	 1936
2994 	 742 	   1603 	 1382 	 2243
2700 	 918 	   820 	   1558 	 1460
2701 	 918 	   1148 	 1558 	 1788
2702 	 1016 	 1114 	 1656 	 1754
2703 	 1082 	 1146 	 1722 	 1786
2706 	 984 	   1278 	 1624 	 1918
2708 	 918 	   1080 	 1558 	 1720
2713 	 918 	   1212 	 1558 	 1852
2987 	 756   	 1342 	 1396 	 1982
2998 	 788 	   1276 	 1428 	 1916
3016 	 756 	   1278 	 1396 	 1918
3020 	 592 	   1440 	 1232 	 2080
3021 	 918 	   1670 	 1558 	 2310
3022 	 624 	   1310 	 1264 	 1950
3023 	 852 	   1376 	 1492 	 2016
3024 	 886 	   1212 	 1526 	 1852
3025 	 1146 	 724 	   1786 	 1364
3026 	 624 	   1474 	 1264 	 2114
3027 	 656 	   1506 	 1296 	 2146
3028 	 788 	   1180 	 1428 	 1820
3029 	 592 	   1440 	 1232 	 2080
3030 	 724 	   1408 	 1364 	 2048
3031 	 756 	   1344 	 1396 	 1984
3032 	 756 	   1244 	 1396 	 1884
3033 	 656 	   1310 	 1296 	 1950
3034 	 656 	   1408 	 1296 	 2048
3035 	 592 	   1344 	 1232 	 1984
3036 	 656 	   1472 	 1296 	 2112
3037 	 724 	   1472 	 1364 	 2112
3038 	 592 	   1472 	 1232 	 2112
3039 	 690 	   1276 	 1330 	 1916
3043 	 788 	   1506 	 1428 	 2146
3045 	 788 	   1472 	 1428 	 2112
3061 	 852 	   1408 	 1492 	 2048
