Mouse 	 x1      y1      x2      y2
2704 	 1129 	 1213 	 1620 	 1809
2705 	 1109 	 1256 	 1583 	 1872
2709 	 1015 	 1046 	 1684 	 1853
2710 	 896 	 842 	 1526 	 1827
2711 	 982 	 1085 	 1532 	 1779
2712 	 1068 	 1246 	 1515 	 1903
3001 	 1353 	 934 	 1951 	 1429
3002 	 1014 	 1527 	 1478 	 2033
3003 	 912 	 1500 	 1343 	 2043
3004 	 914 	 1357 	 1376 	 1966
3005 	 719 	 1520 	 1239 	 2014
3006 	 797 	 1584 	 1242 	 2092
3007 	 708 	 1533 	 1233 	 2092
3008 	 734 	 1175 	 1242 	 1836
3009 	 696 	 1392 	 1244 	 1841
3010 	 801 	 1358 	 1362 	 1850
3011 	 1238 	 909 	 1939 	 1402
3012 	 899 	 1342 	 1449 	 1871
3013 	 822 	 1217 	 1327 	 1831
3014 	 745 	 1333 	 1282 	 2037
3015 	 669 	 1385 	 1212 	 1892
3017 	 1093 	 1383 	 1509 	 1960
3018 	 811 	 1485 	 1299 	 2132
3019 	 862 	 1633 	 1394 	 2169
3040 	 761 	 1515 	 1179 	 2096
3041 	 892 	 1483 	 1283 	 1889
3042 	 1169 	 675 	 1529 	 1066
3044 	 874 	 1677 	 1300 	 2153
3046 	 897 	 1397 	 1322 	 1914
3048 	 874 	 1447 	 1297 	 1943
3049 	 906 	 1439 	 1287 	 1843
3050 	 848 	 1514 	 1234 	 1971
3051 	 867 	 1429 	 1278 	 1933
3052 	 1036 	 1332 	 1452 	 1880
3053 	 945 	 1613 	 1355 	 2053
3054 	 892 	 1323 	 1325 	 1828
3055 	 972 	 1534 	 1383 	 1960
3056 	 784 	 1430 	 1194 	 1934
3057 	 967 	 1580 	 1389 	 2035
3058 	 1530 	 864 	 1998 	 1287
3059 	 1456 	 815 	 1842 	 1189
3060 	 892 	 1402 	 1270 	 1796
2707 	 1157 	 967 	 1597 	 1586
2988 	 852 	 1460 	 1311 	 1960
2983 	 938 	 1103 	 1375 	 1639
2714 	 1037 	 1078 	 1430 	 1713
2986 	 1028 	 1547 	 1445 	 2103
2985 	 858 	 1535 	 1352 	 2101
2990 	 907 	 1557 	 1348 	 2169
2984 	 955 	 1358 	 1419 	 1969
2989 	 936 	 1656 	 1357 	 2123
2996 	 852 	 1501 	 1234 	 2032
2999 	 646 	 1547 	 1089 	 2124
2995 	 835 	 1498 	 1310 	 2190
2993 	 855 	 1350 	 1270 	 1835
2997 	 862 	 1516 	 1280 	 1938
3047 	 863 	 1535 	 1262 	 2010
2991 	 862 	 1581 	 1290 	 2073
2992 	 999 	 1391 	 1422 	 1841
2994 	 856 	 1693 	 1269 	 2154
